2022-02-28 17:10:38.079 | INFO     | communication.CommunicationProducer:send:36 - 向Algorithm2Stimulation发送信息:b'FDBK\x80\x04K!.'
2022-02-28 17:10:43.236 | INFO     | AlgorithmSystem.Framework.AlgorithmSystemManager:report:120 - 当前trial的汇报结果为：33
2022-02-28 17:10:43.238 | INFO     | communication.CommunicationProducer:send:36 - 向Algorithm2Stimulation发送信息:b'FDBK\x80\x04K!.'
2022-02-28 17:10:48.445 | INFO     | AlgorithmSystem.Framework.AlgorithmSystemManager:report:120 - 当前trial的汇报结果为：33
2022-02-28 17:10:48.448 | INFO     | communication.CommunicationProducer:send:36 - 向Algorithm2Stimulation发送信息:b'FDBK\x80\x04K!.'
2022-02-28 17:10:53.596 | INFO     | AlgorithmSystem.Framework.AlgorithmSystemManager:report:120 - 当前trial的汇报结果为：33
2022-02-28 17:10:53.598 | INFO     | communication.CommunicationProducer:send:36 - 向Algorithm2Stimulation发送信息:b'FDBK\x80\x04K!.'
2022-02-28 17:10:58.756 | INFO     | AlgorithmSystem.Framework.AlgorithmSystemManager:report:120 - 当前trial的汇报结果为：33
2022-02-28 17:10:58.758 | INFO     | communication.CommunicationProducer:send:36 - 向Algorithm2Stimulation发送信息:b'FDBK\x80\x04K!.'
2022-02-28 17:11:03.965 | INFO     | AlgorithmSystem.Framework.AlgorithmSystemManager:report:120 - 当前trial的汇报结果为：33
2022-02-28 17:11:03.967 | INFO     | communication.CommunicationProducer:send:36 - 向Algorithm2Stimulation发送信息:b'FDBK\x80\x04K!.'
2022-02-28 17:11:09.119 | INFO     | AlgorithmSystem.Framework.AlgorithmSystemManager:report:120 - 当前trial的汇报结果为：33
2022-02-28 17:11:09.121 | INFO     | communication.CommunicationProducer:send:36 - 向Algorithm2Stimulation发送信息:b'FDBK\x80\x04K!.'
2022-02-28 17:11:14.272 | INFO     | AlgorithmSystem.Framework.AlgorithmSystemManager:report:120 - 当前trial的汇报结果为：33
2022-02-28 17:11:14.275 | INFO     | communication.CommunicationProducer:send:36 - 向Algorithm2Stimulation发送信息:b'FDBK\x80\x04K!.'
2022-02-28 17:11:19.430 | INFO     | AlgorithmSystem.Framework.AlgorithmSystemManager:report:120 - 当前trial的汇报结果为：33
2022-02-28 17:11:19.432 | INFO     | communication.CommunicationProducer:send:36 - 向Algorithm2Stimulation发送信息:b'FDBK\x80\x04K!.'
2022-02-28 17:11:24.604 | INFO     | AlgorithmSystem.Framework.AlgorithmSystemManager:report:120 - 当前trial的汇报结果为：33
2022-02-28 17:11:24.606 | INFO     | communication.CommunicationProducer:send:36 - 向Algorithm2Stimulation发送信息:b'FDBK\x80\x04K!.'
2022-02-28 17:11:29.754 | INFO     | AlgorithmSystem.Framework.AlgorithmSystemManager:report:120 - 当前trial的汇报结果为：33
2022-02-28 17:11:29.756 | INFO     | communication.CommunicationProducer:send:36 - 向Algorithm2Stimulation发送信息:b'FDBK\x80\x04K!.'
2022-02-28 17:11:34.907 | INFO     | AlgorithmSystem.Framework.AlgorithmSystemManager:report:120 - 当前trial的汇报结果为：33
2022-02-28 17:11:34.909 | INFO     | communication.CommunicationProducer:send:36 - 向Algorithm2Stimulation发送信息:b'FDBK\x80\x04K!.'
2022-02-28 17:11:40.091 | INFO     | AlgorithmSystem.Framework.AlgorithmSystemManager:report:120 - 当前trial的汇报结果为：33
2022-02-28 17:11:40.093 | INFO     | communication.CommunicationProducer:send:36 - 向Algorithm2Stimulation发送信息:b'FDBK\x80\x04K!.'
2022-02-28 17:11:45.275 | INFO     | AlgorithmSystem.Framework.AlgorithmSystemManager:report:120 - 当前trial的汇报结果为：33
2022-02-28 17:11:45.277 | INFO     | communication.CommunicationProducer:send:36 - 向Algorithm2Stimulation发送信息:b'FDBK\x80\x04K!.'
2022-02-28 17:11:50.431 | INFO     | AlgorithmSystem.Framework.AlgorithmSystemManager:report:120 - 当前trial的汇报结果为：33
2022-02-28 17:11:50.433 | INFO     | communication.CommunicationProducer:send:36 - 向Algorithm2Stimulation发送信息:b'FDBK\x80\x04K!.'
2022-02-28 17:11:55.603 | INFO     | AlgorithmSystem.Framework.AlgorithmSystemManager:report:120 - 当前trial的汇报结果为：33
2022-02-28 17:11:55.605 | INFO     | communication.CommunicationProducer:send:36 - 向Algorithm2Stimulation发送信息:b'FDBK\x80\x04K!.'
2022-02-28 17:12:00.761 | INFO     | AlgorithmSystem.Framework.AlgorithmSystemManager:report:120 - 当前trial的汇报结果为：33
2022-02-28 17:12:00.763 | INFO     | communication.CommunicationProducer:send:36 - 向Algorithm2Stimulation发送信息:b'FDBK\x80\x04K!.'
2022-02-28 17:12:05.947 | INFO     | AlgorithmSystem.Framework.AlgorithmSystemManager:report:120 - 当前trial的汇报结果为：33
2022-02-28 17:12:05.949 | INFO     | communication.CommunicationProducer:send:36 - 向Algorithm2Stimulation发送信息:b'FDBK\x80\x04K!.'
2022-02-28 17:12:11.116 | INFO     | AlgorithmSystem.Framework.AlgorithmSystemManager:report:120 - 当前trial的汇报结果为：33
2022-02-28 17:12:11.117 | INFO     | communication.CommunicationProducer:send:36 - 向Algorithm2Stimulation发送信息:b'FDBK\x80\x04K!.'
2022-02-28 17:12:16.321 | INFO     | AlgorithmSystem.Framework.AlgorithmSystemManager:report:120 - 当前trial的汇报结果为：33
2022-02-28 17:12:16.322 | INFO     | communication.CommunicationProducer:send:36 - 向Algorithm2Stimulation发送信息:b'FDBK\x80\x04K!.'
2022-02-28 17:12:21.476 | INFO     | AlgorithmSystem.Framework.AlgorithmSystemManager:report:120 - 当前trial的汇报结果为：33
2022-02-28 17:12:21.478 | INFO     | communication.CommunicationProducer:send:36 - 向Algorithm2Stimulation发送信息:b'FDBK\x80\x04K!.'
2022-02-28 17:12:26.648 | INFO     | AlgorithmSystem.Framework.AlgorithmSystemManager:report:120 - 当前trial的汇报结果为：33
2022-02-28 17:12:26.650 | INFO     | communication.CommunicationProducer:send:36 - 向Algorithm2Stimulation发送信息:b'FDBK\x80\x04K!.'
2022-02-28 17:12:31.801 | INFO     | AlgorithmSystem.Framework.AlgorithmSystemManager:report:120 - 当前trial的汇报结果为：33
2022-02-28 17:12:31.802 | INFO     | communication.CommunicationProducer:send:36 - 向Algorithm2Stimulation发送信息:b'FDBK\x80\x04K!.'
2022-02-28 17:12:36.961 | INFO     | AlgorithmSystem.Framework.AlgorithmSystemManager:report:120 - 当前trial的汇报结果为：33
2022-02-28 17:12:36.963 | INFO     | communication.CommunicationProducer:send:36 - 向Algorithm2Stimulation发送信息:b'FDBK\x80\x04K!.'
2022-02-28 17:12:42.143 | INFO     | AlgorithmSystem.Framework.AlgorithmSystemManager:report:120 - 当前trial的汇报结果为：33
2022-02-28 17:12:42.145 | INFO     | communication.CommunicationProducer:send:36 - 向Algorithm2Stimulation发送信息:b'FDBK\x80\x04K!.'
2022-02-28 17:12:47.281 | INFO     | AlgorithmSystem.Framework.AlgorithmSystemManager:report:120 - 当前trial的汇报结果为：33
2022-02-28 17:12:47.284 | INFO     | communication.CommunicationProducer:send:36 - 向Algorithm2Stimulation发送信息:b'FDBK\x80\x04K!.'
2022-02-28 17:12:52.443 | INFO     | AlgorithmSystem.Framework.AlgorithmSystemManager:report:120 - 当前trial的汇报结果为：33
2022-02-28 17:12:52.444 | INFO     | communication.CommunicationProducer:send:36 - 向Algorithm2Stimulation发送信息:b'FDBK\x80\x04K!.'
2022-02-28 17:12:57.602 | INFO     | AlgorithmSystem.Framework.AlgorithmSystemManager:report:120 - 当前trial的汇报结果为：33
2022-02-28 17:12:57.604 | INFO     | communication.CommunicationProducer:send:36 - 向Algorithm2Stimulation发送信息:b'FDBK\x80\x04K!.'
2022-02-28 17:13:02.751 | INFO     | AlgorithmSystem.Framework.AlgorithmSystemManager:report:120 - 当前trial的汇报结果为：33
2022-02-28 17:13:02.753 | INFO     | communication.CommunicationProducer:send:36 - 向Algorithm2Stimulation发送信息:b'FDBK\x80\x04K!.'
2022-02-28 17:13:07.878 | INFO     | AlgorithmSystem.Framework.AlgorithmSystemManager:report:120 - 当前trial的汇报结果为：33
2022-02-28 17:13:07.880 | INFO     | communication.CommunicationProducer:send:36 - 向Algorithm2Stimulation发送信息:b'FDBK\x80\x04K!.'
2022-02-28 17:13:13.046 | INFO     | AlgorithmSystem.Framework.AlgorithmSystemManager:report:120 - 当前trial的汇报结果为：33
2022-02-28 17:13:13.048 | INFO     | communication.CommunicationProducer:send:36 - 向Algorithm2Stimulation发送信息:b'FDBK\x80\x04K!.'
2022-02-28 17:13:18.236 | INFO     | AlgorithmSystem.Framework.AlgorithmSystemManager:report:120 - 当前trial的汇报结果为：33
